sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
21.037;992;;1000rounds;Yes;No;4;0.26694;0.98809;0.00000;0.62212;2.77464;Agent3@46;Agent3@47;Agent1@48;Agent1@49;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.399;992;;1000rounds;Yes;No;4;0.28341;0.97619;0.00000;0.60579;2.77445;RandomBidderExample@50;Agent3@51;Agent1@52;Agent1@53;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
8.893;992;;1000rounds;Yes;No;4;0.28341;0.97619;0.00000;0.60579;2.77445;Agent1@54;RandomBidderExample@55;Agent1@56;Agent1@57;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.518;992;;1000rounds;Yes;No;4;0.29145;0.95238;0.00000;0.59115;2.78772;Agent2@58;RandomBidderExample@59;Agent1@60;Agent1@61;0.7466666666666667;0.2914457145208862;0.7972242871827151;0.9523801000000001;0.7466666666666667;0.2914457145208862;0.7972242871827151;0.9523801000000001;0.7466666666666667;0.2914457145208862;0.7972242871827151;0.9523801000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.352;992;;1000rounds;Yes;No;4;0.44818;1.00000;0.00000;0.47954;2.95736;Agent3@62;RandomBidderExample@63;Agent1@64;Agent1@65;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
8.578;992;;1000rounds;Yes;No;4;0.28341;0.97619;0.00000;0.60579;2.77445;RandomBidderExample@66;RandomBidderExample@67;Agent1@68;Agent1@69;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;0.7341666666666667;0.2834137873743109;0.7806775944452613;0.9761896000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
15.814;992;;1000rounds;Yes;No;4;0.47199;0.95238;0.09438;0.45203;2.80421;Agent1@70;Agent1@71;Agent2@72;Agent1@73;0.6458333333333334;0.4719926821285791;0.7339995008770163;0.9523801000000001;0.6458333333333334;0.4719926821285791;0.7339995008770163;0.9523801000000001;0.6458333333333334;0.4719926821285791;0.7339995008770163;0.9523801000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
24.554;992;;1000rounds;Yes;No;4;0.26694;0.98809;0.00000;0.62212;2.77464;Agent2@74;Agent1@75;Agent2@76;Agent1@77;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;0.7466666666666667;0.26693704881905567;0.7729420322375361;0.9880943500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
24.718;992;;1000rounds;Yes;No;4;0.36097;0.97619;0.00000;0.61413;2.79292;Agent3@82;Agent1@83;Agent2@84;Agent1@85;0.5666666666666667;0.3609668810394907;0.8890967632798443;0.976189575;0.5666666666666667;0.3609668810394907;0.8890967632798443;0.976189575;0.5666666666666667;0.3609668810394907;0.8890967632798443;0.976189575;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
17.434;992;;1000rounds;Yes;No;4;0.46466;0.96428;0.00000;0.44422;2.93902;RandomBidderExample@92;Agent1@93;Agent2@94;Agent1@95;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
23.194;992;;1000rounds;Yes;No;4;0.44818;1.00000;0.00000;0.47954;2.95736;Agent1@96;Agent2@97;Agent2@98;Agent1@99;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;0.7091666666666666;0.4481811729268628;0.8000164999645744;0.9999991;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
